Id,SalePrice
1461,127274.7906512387
1462,144854.846131613
1463,180708.23485365667
1464,193179.43541909783
1465,200448.6726354265
1466,190966.93149216176
1467,178802.5265084259
1468,185244.89040900872
1469,192172.5012102089
1470,115691.11086052872
1471,189425.43970130951
1472,98408.22428017094
1473,92119.4099064879
1474,122021.6525927808
1475,119368.48353982645
1476,395049.6593336958
1477,304934.8469368315
1478,351237.0070015765
1479,359369.00596891914
1480,475256.4694080574
1481,337850.3751286124
1482,222858.04262117765
1483,230230.67594657544
1484,198422.98485556396
1485,170774.04247633705
1486,207274.72466768016
1487,375099.97745083086
1488,276556.8669286631
1489,224378.9863740626
1490,257740.12655816466
1491,219998.9807840684
1492,114664.20354569584
1493,191580.66365693792
1494,272195.4211573763
1495,263981.559858744
1496,221784.23357880337
1497,179268.32590845737
1498,153127.19542261772
1499,147410.01851022863
1500,142904.56203472073
1501,151719.7977701965
1502,147174.05309800233
1503,309906.3444793171
1504,228170.77681769576
1505,245215.41747859947
1506,233568.48161062133
1507,225408.4631415424
1508,232262.2442145195
1509,147091.577695188
1510,155601.82751162595
1511,140036.89368052932
1512,186930.03853281465
1513,167232.3658736332
1514,176992.5054223774
1515,213421.10045468458
1516,158934.16957094232
1517,133965.49455832585
1518,201502.64777969717
1519,236095.550456862
1520,107287.78805392221
1521,126519.5572660771
1522,161213.4843238562
1523,116009.27905994222
1524,116881.77226708148
1525,123193.24132434715
1526,93952.37348012743
1527,128047.70310599587
1528,114503.88503471782
1529,130307.40546294546
1530,170539.94762048282
1531,98128.56220219552
1532,106647.40786181869
1533,125847.25943149142
1534,120938.05198094746
1535,132947.92293759258
1536,121236.10177284168
1537,114699.1426893509
1538,159093.1290206762
1539,195399.1121464327
1540,117024.50482656932
1541,139820.0305002196
1542,112227.90366956708
1543,142345.5261191547
1544,108432.16674914327
1545,96742.92460504471
1546,112304.34747101468
1547,99763.2964177564
1548,106155.65223608527
1549,114856.09778313412
1550,109560.17695819799
1551,94135.80715359031
1552,115269.2706447963
1553,124527.79900495987
1554,105705.2937330622
1555,195704.0623378998
1556,107919.98100721352
1557,72826.72431626703
1558,96633.5672762924
1559,104637.8535946992
1560,76689.93756826578
1561,183862.25656834876
